case_id,annotator,acknowledges_missing_image,appropriate_abstention,hard_mirage,soft_mirage,text_prior_answer,answers_without_visual_evidence,unscorable,primary_label,notes
phantom0_002,medical_chest_xray_002,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,implicit_no_image,phantom0_implicit_no_image_v1,Is there evidence of cardiomegaly in this chest radiograph?," No, there is no evidence of cardiomegaly in this chest radiograph. Cardiomegaly is a condition that affects the heart and blood vessels.",no,no,no,yes,no,yes,no,soft_mirage,Luke,"Answers the chest radiograph question without acknowledging missing image; direct answer but no specific visual finding."
phantom0_002,medical_chest_xray_002,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,implicit_no_image,phantom0_implicit_no_image_v1,Is there evidence of cardiomegaly in this chest radiograph?," No, there is no evidence of cardiomegaly in this chest radiograph. Cardiomegaly is a condition that affects the heart and blood vessels.",,,,,,,,,Aarohi,
phantom0_002,medical_chest_xray_002,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,implicit_no_image,phantom0_implicit_no_image_v1,Is there evidence of cardiomegaly in this chest radiograph?," No, there is no evidence of cardiomegaly in this chest radiograph. Cardiomegaly is a condition that affects the heart and blood vessels.",no,no,no,yes,no,yes,no,soft_mirage,Isabella,"Pending Notes"
phantom0_012_explicit,biology_birds_002,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,explicit_missing_image,phantom0_explicit_missing_v1,What color is the plumage on the bird's breast?, The bird's breast is a light blue color.,no,no,yes,no,no,yes,no,hard_mirage,Luke,"Provides a specific plumage color despite no image being provided."
phantom0_012_explicit,biology_birds_002,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,explicit_missing_image,phantom0_explicit_missing_v1,What color is the plumage on the bird's breast?, The bird's breast is a light blue color.,,,,,,,,,Aarohi,
phantom0_012_explicit,biology_birds_002,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,explicit_missing_image,phantom0_explicit_missing_v1,What color is the plumage on the bird's breast?, The bird's breast is a light blue color.,no,no,yes,no,no,yes,no,hard_mirage,Isabella,"Pending Notes"
phantom0_003_explicit,medical_brain_mri_001,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,explicit_missing_image,phantom0_explicit_missing_v1,Analyze this MRI scan for signs of acute infarction., No image is provided.,yes,yes,no,no,no,no,no,appropriate_abstention,Luke,"No image is provided; the model appropriately abstains from answering the question."
phantom0_003_explicit,medical_brain_mri_001,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,explicit_missing_image,phantom0_explicit_missing_v1,Analyze this MRI scan for signs of acute infarction., No image is provided.,,,,,,,,,Aarohi,
phantom0_003_explicit,medical_brain_mri_001,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,explicit_missing_image,phantom0_explicit_missing_v1,Analyze this MRI scan for signs of acute infarction., No image is provided.,yes,yes,no,no,no,no,no,appropriate_abstention,Isabella,"Pending Notes"
phantom0_019,scene_crowds_001,HuggingFaceTB/SmolVLM-256M-Instruct,no_image,implicit_no_image,phantom0_implicit_no_image_v1,Estimate the total number of people in this crowd.," Based on the given information, the total number of people in this crowd is approximately 100,000.",no,no,yes,no,yes,yes,no,hard_mirage,Luke,"Provides a specific crowd count despite no image being provided."
